Player,Position,Series,Game,PTS,REB,AST,FG%,3P%,TS%
Karl-Anthony Towns,Big,DET,1,22,13,2,0.47,0.35,0.6
Karl-Anthony Towns,Big,DET,2,25,12,1,0.49,0.33,0.62
Karl-Anthony Towns,Big,DET,3,28,11,2,0.52,0.38,0.65
Karl-Anthony Towns,Big,DET,4,26,10,1,0.5,0.36,0.63
Karl-Anthony Towns,Big,DET,5,24,12,2,0.48,0.34,0.61
Karl-Anthony Towns,Big,DET,6,27,13,2,0.51,0.37,0.64
Karl-Anthony Towns,Big,BOS,1,29,12,3,0.53,0.39,0.66
Karl-Anthony Towns,Big,BOS,2,27,11,2,0.5,0.36,0.63
Karl-Anthony Towns,Big,BOS,3,25,10,1,0.47,0.33,0.59
Karl-Anthony Towns,Big,BOS,4,30,14,3,0.55,0.4,0.68
Karl-Anthony Towns,Big,BOS,5,24,11,1,0.46,0.32,0.57
Karl-Anthony Towns,Big,BOS,6,28,13,2,0.51,0.37,0.63
Karl-Anthony Towns,Big,IND,1,26,12,2,0.5,0.36,0.62
Karl-Anthony Towns,Big,IND,2,28,13,2,0.52,0.38,0.65
Karl-Anthony Towns,Big,IND,3,25,11,1,0.48,0.34,0.6
Karl-Anthony Towns,Big,IND,4,27,12,2,0.5,0.36,0.63
Karl-Anthony Towns,Big,IND,5,29,14,3,0.54,0.39,0.67
Karl-Anthony Towns,Big,IND,6,26,12,2,0.51,0.37,0.64
